intervention,accuracy,auc,dp_gap,eo_gap
unmitigated,0.8202795594511026,0.902561612405254,0.39281144712307425,0.6077777777777778
reweighting,0.8168808933636573,0.8989804307874458,0.2640413562414475,0.35
expgrad,0.8114890246083868,0.8059159632690238,0.2673863463585221,0.4
threshold,0.7849129890373854,0.902561612405254,0.17162794472878257,0.2222222222222222
