model,eps,intervention,dp_clean_benefit,dp_synth_benefit,dp_attenuation,eo_clean_benefit,eo_synth_benefit,eo_attenuation
logreg,1.0,expgrad,0.1191704138680924,0.033149300652523174,0.7218327974490755,0.20444444444444454,-0.032019607843137225,1.1566176470588232
logreg,1.0,reweighting,0.1816308255542068,0.03129041085630446,0.8277252181130124,0.2766666666666667,0.010777777777777808,0.9610441767068272
logreg,1.0,threshold,0.2134804504396139,0.0481812047671051,0.774306243649538,0.3044444444444445,0.1164444444444445,0.6175182481751824
logreg,2.0,expgrad,0.1191704138680924,0.0528198867146882,0.5567701327851929,0.20444444444444454,-0.007333333333333314,1.0358695652173913
logreg,2.0,reweighting,0.1816308255542068,0.0315597154794595,0.8262425148200372,0.2766666666666667,-0.006888888888888872,1.0248995983935743
logreg,2.0,threshold,0.2134804504396139,0.06608136911459758,0.6904570466358011,0.3044444444444445,0.0771381381381382,0.74662655356086
logreg,4.0,expgrad,0.1191704138680924,0.05305069096925078,0.5548333747672334,0.20444444444444454,-0.04177777777777777,1.2043478260869565
logreg,4.0,reweighting,0.1816308255542068,0.03668730919112719,0.7980116586532937,0.2766666666666667,0.022000000000000013,0.9204819277108434
logreg,4.0,threshold,0.2134804504396139,0.11941089290954532,0.44064717559080446,0.3044444444444445,0.07222222222222227,0.7627737226277371
logreg,8.0,expgrad,0.1191704138680924,-0.025937357283056527,1.2176493010401568,0.20444444444444454,-0.07008408408408408,1.3428025851938894
logreg,8.0,reweighting,0.1816308255542068,0.037947048375057066,0.7910759461711968,0.2766666666666667,0.0012222222222222467,0.995582329317269
logreg,8.0,threshold,0.2134804504396139,0.07188376560528523,0.6632770567175723,0.3044444444444445,0.09371368314879772,0.6921813327229273
xgboost,1.0,expgrad,0.1254251007645521,0.06740680836223613,0.462573217391532,0.20777777777777773,-0.02222222222222221,1.106951871657754
xgboost,1.0,reweighting,0.12877009088162672,0.03851472982691022,0.7009031401374463,0.2577777777777778,0.052444444444444446,0.796551724137931
xgboost,1.0,threshold,0.2211835023942917,0.03635105486103802,0.8356520514977785,0.38555555555555554,0.15146048109965637,0.6071630173207759
xgboost,2.0,expgrad,0.1254251007645521,0.09822032634168812,0.21690055863644675,0.20777777777777773,-0.008797385620915022,1.0423403586033344
xgboost,2.0,reweighting,0.12877009088162672,0.024680770878622492,0.8083346007629166,0.2577777777777778,0.06166666666666667,0.7607758620689655
xgboost,2.0,threshold,0.2211835023942917,0.1025294578026558,0.5364506995649153,0.38555555555555554,0.1845915915915916,0.5212321831918373
xgboost,4.0,expgrad,0.1254251007645521,0.10022031129922634,0.20095490704560137,0.20777777777777773,-0.008764705882352942,1.0421830764391318
xgboost,4.0,reweighting,0.12877009088162672,0.0234456289715979,0.8179264391981322,0.2577777777777778,0.04455555555555553,0.8271551724137932
xgboost,4.0,threshold,0.2211835023942917,0.11512427299924104,0.47950786675755175,0.38555555555555554,0.14433799830364716,0.6256363156389555
xgboost,8.0,expgrad,0.1254251007645521,0.0833680164621582,0.33531632859792093,0.20777777777777773,-0.04755555555555556,1.2288770053475937
xgboost,8.0,reweighting,0.12877009088162672,0.024224598979714747,0.8118771306763815,0.2577777777777778,0.04977777777777777,0.806896551724138
xgboost,8.0,threshold,0.2211835023942917,0.10572603089144975,0.5219985679448291,0.38555555555555554,0.2590621934453493,0.32808076628007377
