intervention,accuracy,auc,dp_gap,eo_gap
unmitigated,0.8195384969207574,0.8976484769127517,0.3681593145827039,0.5544444444444445
reweighting,0.8145043824904812,0.8919777566314897,0.1865284890284971,0.2777777777777778
expgrad,0.8056627398870518,0.7979613836991699,0.2489889007146115,0.35
threshold,0.77893338103391,0.8976484769127517,0.15467886414309007,0.25
